V1,V2,V3,V4,V5,V6,V7,V8,V9
4.856745499416961,2.428929723254953,3.5371942105168293,3.201872282184,3.774003138375138,3.401257996808673,4.238382779621228,5.287324765602545,5.832420925982443
6.7144348789629555,5.355436131100666,6.938116316925876,6.59280450687643,6.2199752366463175,5.806407066332811,7.409573692078712,5.39627544019404,7.473409526976294
6.031243955687559,6.173565537879134,6.014457825846536,5.984947379397113,6.955185465871241,6.783852186523495,6.030511172425081,6.005892199680211,7.087851712164686
6.8325678543598265,7.672513355031715,6.063647375306771,7.286745758583857,7.066033826318654,8.157915544340549,5.976172543998895,5.735855783197668,6.250405162286883
6.699981880256286,6.945093752663906,6.535198538062877,6.541807284674048,5.491591654545058,6.9398638340010175,6.110442104452481,4.534603269448899,6.084626619381781
6.479647759271291,6.780254177825283,7.2985421608712695,6.912185094579151,7.737506725411814,7.3899890545507345,7.501592012404313,7.378453444230575,6.072006551192505
8.530937777380746,6.2979422448880396,7.872186102390386,6.170557877311082,6.846620859331455,6.2077514780927405,8.131672665594374,9.065794862042932,9.47134093575936
3.1262162400372855,3.010835846961736,2.9522197141087205,1.9995262744549138,4.12095551359347,3.0238711865109202,2.775313672580912,4.997760063562726,3.6557824589707173
4.634884832871562,2.7215133233154107,3.6162039242647905,3.7182406800795134,4.64225995244643,4.132334955278013,4.401390476932805,5.331769971262935,5.786904096164136
4.075927531005052,4.898866968116973,4.424946895338982,3.7446831385016313,3.9736625144724487,4.0556078034999095,4.1438819599162136,5.7182863227465175,2.4670542577329555
3.437708922952014,4.053346397218204,2.863681663604809,3.3581049111358747,4.235879024807259,3.8785831408490865,2.9818254169895937,4.969287013802045,3.1149230623362305
6.0046241033866705,4.167899761396262,4.9569544267339705,5.289629631402548,3.913326606792203,4.606309397419237,5.698976994568606,4.184465087021487,4.533107939168933
2.2699017511092308,3.3476592443193605,2.2397522500332268,2.322241832356824,4.36655540513919,2.4977251382837133,1.7354824633313366,6.227861514945449,3.456097344510381
4.6800902549237025,6.054782594383326,6.501048136868953,5.626193163348937,6.76092113388847,5.980979506640994,5.983032746760236,6.166473954222205,4.776580906077377
5.161326696312615,5.389384329583055,5.23482552757058,5.361585027287507,4.869467473445258,4.7859627548599475,4.9298531641095735,5.159419036172805,4.98090448715701
5.237298885746525,4.405461378082981,4.233702335766817,4.789828580198981,5.8166612107092455,4.842479286100641,4.315340001080344,5.975324388641396,6.3392257181070075
4.173387316266856,3.5484897784994134,4.899340762855464,5.070879761928466,5.919640570577526,4.953391695798576,5.452645350189733,4.336594029463133,5.220506818099438
7.627128344583523,7.155514968243343,6.8816943097949075,7.956288631491605,6.156664099633448,7.119290185009388,7.95616117063622,6.1320543529526725,4.571438674226234
4.699218565730488,4.10180349500158,3.9261966950998746,3.8300802372407903,4.0841243415275885,3.9031157944294446,4.142978481301345,5.297662861840555,4.677894381038928
6.303784213681343,6.658823847784335,5.875011897166518,5.505331364220133,3.427691893479787,4.100679576268606,4.711412386656351,5.326184946558233,4.994783235359184
7.575665350698136,9.049352884267922,7.608591354926044,8.732089992397821,6.718941508817625,8.279916325648522,7.220263837170947,5.833726436215687,5.05370570702435
4.270922355131861,6.804419548302481,5.152386761315407,5.679440282777816,5.480820922461984,6.1852670339573885,4.167958976130983,4.344437508057151,3.3961665574174673
7.114481937383597,8.95964220191648,7.203781978726289,8.181546082904873,6.757413047884404,7.322112857454243,6.825263784149371,6.984916954402693,4.923152402162974
7.043666064474616,7.119632073810808,7.294131246778813,6.205647887448862,6.959907594564237,6.697411262637081,6.675498782295737,7.58101354938072,7.705661312529557
5.834236078590783,6.423320498509987,7.306836972317502,6.62185875795557,6.835506567555853,6.652629885619352,6.674662555302212,5.076966800549852,6.528464801942219
8.256152749464624,5.50421483604757,6.798461413362248,6.345632209483445,5.62628569172093,6.5188113958505,7.752451587309361,6.6794491324688945,6.239064598490481
